lieferzeile_no,order_no,buy_from_city,buy_from_post_code,buy_from_vendor_name,location_code,order_date,original_date,posting_date,promised_receipt_date,quantity_invoiced,quantity,really_receipt_datetime,requested_receipt_date
ZG00003066,EB20/2375,Blaichach,87542,Robert Bosch GmbH,A-01,2020-11-26,2021-01-29,2021-01-28,2021-01-29,650,650,2021-01-27,2021-01-29
M0000009,EB21/0253,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2021-01-27,2021-01-19,2021-01-28,2021-01-28,2,2,2021-01-27,2021-01-28
KS00525788-1,EB21/0103,Ebersbach,73061,Bodycote,B-01,2021-01-14,2021-04-02,2021-01-28,2021-04-02,503,503,1753-01-01,2021-04-02
MV00491619-1,EB20/2535,Zella-Mehlis OT Benshausen,98544,Menz Industriedienst-,B-01,2021-07-01,2021-01-28,2021-01-28,2021-01-28,8704,8704,1753-01-01,2021-01-28
KS00113701,EB21/0198,Weinheim,69465,Freudenberg FST GmbH,B-01,2020-11-27,2021-05-02,2021-01-28,2021-05-02,1950,1950,1753-01-01,2021-05-02
S1 0-1412705-2,EB20/2552,Sinsheim,74889,Fischer GmbH & Co.KG,A-01,2020-12-16,2021-01-29,2021-01-27,2021-01-29,45000,45000,2021-01-26,2021-01-29
S1 0-1412705-7,EB20/2553,Sinsheim,74889,Fischer GmbH & Co.KG,A-01,2020-12-16,2021-01-29,2021-01-27,2021-01-29,30000,30000,2021-01-26,2021-01-29
TF00000002,EB20/2329,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-11-24,2021-03-17,2021-01-28,2021-03-29,144000,144000,2021-01-27,2021-01-29
TF00000002,EB20/2329,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2021-10-12,2021-03-17,2021-01-28,2021-03-17,91000,91000,2021-01-27,2021-11-01
25000001,EB20/1929,Bydgoszcz,85-825,TE Connectivity Solutions GmbH,A-01,2020-10-12,2021-01-29,2021-01-28,2021-01-29,733000,733000,2021-01-27,2021-11-01
11000035,EB21/0006,Freiburg,79108,Advantek GmbH,A-01,2021-11-01,2021-01-29,2021-01-28,2021-01-29,2,2,2021-01-27,2021-01-29
PVP0405439,EB20/2196,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-05-11,2021-01-29,2021-01-28,2021-01-29,8300,8300,2021-01-27,2020-11-27
PVP0405439,EB20/2196,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-05-11,2021-12-02,2021-01-28,2021-12-02,8560,8560,2021-01-27,2020-11-12
17000207,EB20/2153,Egesheim,78592,Gebrüder Dreher,B-01,2020-03-11,2020-12-18,2021-01-29,2021-01-20,9225,9225,1753-01-01,2021-01-20
DR01060001,EB20/2554,Reichshof - Eckenhagen,51574,Elektrisola GmbH & Co. KG,A-01,2020-12-17,2021-01-29,2021-01-29,2021-01-29,191,191,2021-01-28,2021-01-29
HDE0H17015,EB21/0038,Bamberg,96052,Robert Bosch GmbH,A-01,2021-01-15,2021-01-29,2021-01-29,2021-01-29,6912,6912,2021-01-28,2021-01-29
NW00004365,EB20/1912,Loveresse,CH-2732,Boillat Decolletage SA,B-01,2021-02-02,2021-02-02,2021-01-29,2021-02-02,15000,15000,1753-01-01,2021-02-02
HDE0H06007,EB20/2087,Kronach,96317,Horst Scholz GmbH & Co. KG,A-01,2020-10-28,2021-01-29,2021-01-29,2021-01-29,10000,10000,2021-01-28,2021-01-29
17200124,EB20/2565,Berlin,12487,Ahlberg Metalltechnik GmbH,A-01,2020-12-17,2021-01-14,2021-01-27,1753-01-01,2024,2024,2021-01-26,1753-01-01
RB00300777,EB20/2286,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-11-09,2022-02-02,2021-01-29,2022-02-02,2500,2500,1753-01-01,2020-04-12
RB00491999,EB20/2286,Waiblingen,71332,Robert Bosch GmbH,B-01,2020-11-09,2022-02-02,2021-01-29,2022-02-02,5247,5247,1753-01-01,2020-04-12
KP0064C054,EB20/2269,Stockdorf,82131,SHN STANZ SCHMIDT,A-01,2020-11-23,2021-01-29,2021-01-29,2021-01-29,5000,5000,2021-01-28,2021-12-01
KP0064C057,EB20/2269,Stockdorf,82131,SHN STANZ SCHMIDT,A-01,2020-11-23,2021-01-29,2021-01-29,2021-01-29,5000,5000,2021-01-28,2021-12-01
17000434,EB20/2421,Lüdenscheid,58477,Fr. Schulte,A-01,2020-12-30,2021-01-29,2021-01-28,2021-01-29,4430,4430,2021-01-27,2021-01-22
29200984-1,EB21/0005,Berlin,12487,Ahlberg Metalltechnik GmbH,A-01,2021-11-01,2021-02-26,2021-01-29,2021-02-26,2024,2024,2021-01-28,2021-02-26
DMR0000003,EB20/2048,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-10-23,2020-12-29,2021-01-29,1753-01-01,4000,4000,2021-01-28,1753-01-01
22001649,EB21/0055,Schnelldorf,91625,Rene Schwab,A-01,2021-01-14,2021-01-29,2021-01-29,2021-01-29,24000,24000,2021-01-28,2021-01-29
18000042,EB20/2522,Großpostwitz,02692,miunske GmbH,A-01,2020-12-14,2021-01-29,2021-01-29,2021-01-29,2000,2000,2021-01-28,2021-01-29
18000044,EB20/2522,Großpostwitz,02692,miunske GmbH,A-01,2020-12-14,2021-01-29,2021-01-29,2021-01-29,3000,3000,2021-01-28,2021-01-29
18000081,EB20/2522,Großpostwitz,02692,miunske GmbH,A-01,2020-12-14,2021-01-29,2021-01-29,2021-01-29,1000,1000,2021-01-28,2021-01-29
KU00021686,EB20/2296,Sunder/Amecke,59846,Kaiser & Waltermann GmbH,A-01,2020-11-18,2021-01-29,2021-01-29,2021-01-29,5100,5100,2021-01-28,2021-01-29
KU00322240,EB20/2292,Berlin,12487,Ahlberg Metalltechnik GmbH,A-01,2020-11-18,2021-01-29,2021-01-29,2021-01-29,2024,2024,2021-01-28,2021-01-29
24000001,EB20/2283,Berlin,12487,Ahlberg Metalltechnik GmbH,B-01,2019-09-18,2021-08-01,2021-01-02,2021-08-01,720,720,1753-01-01,2020-08-01
24000007,EB20/2283,Berlin,12487,Ahlberg Metalltechnik GmbH,B-01,2019-09-18,2021-08-01,2021-01-02,2021-08-01,720,720,1753-01-01,2020-08-01
00000018,EB21/0082,München,81739,Siemens AG,Z-ESOLA,2021-01-15,2022-02-02,2021-01-02,2022-02-02,1000,1000,2021-01-31,2021-01-02
KS00525755,EB21/0105,Ebersbach,73061,Bodycote,B-01,2021-01-14,2021-04-02,2021-01-28,2021-04-02,500,500,1753-01-01,2021-04-02
22000636,EB20/2118,Herzogenaurach,91074,Erhard Fröhlich GmbH,B-01,2020-02-11,2021-02-02,2021-01-29,2021-02-02,100,100,1753-01-01,2021-11-01
PVP0405439,EB20/2196,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2020-05-11,2021-08-04,2021-01-02,1753-01-01,16020,16020,2021-01-31,1753-01-01
RA00000750,EB21/0097,Grafenberg,72661,RAMPF Polymer Solutions,A-01,2021-08-01,2021-02-02,2021-01-02,2021-02-02,30,30,2021-01-31,2021-01-22
KP000913C3,EB21/0143,Gernlinden,82216,Weidinger GmbH,A-01,2021-01-20,2021-03-02,2021-01-02,2021-03-02,10,10,2021-01-31,2021-03-02
ZG00003070,EB20/1811,Blaichach,87542,Robert Bosch GmbH,A-01,2020-10-12,2021-01-29,2021-01-02,2021-01-29,200,200,2021-01-31,2021-11-01
ZG00003070,EB20/2410,Blaichach,87542,Robert Bosch GmbH,A-01,2020-02-12,2021-01-29,2021-01-02,2021-01-29,200,200,2021-01-31,2021-11-01
HDE0001156,EB21/0031,Bamberg,96052,Robert Bosch GmbH,A-01,2021-01-15,2021-01-02,2021-01-02,2021-01-02,1500,1500,2021-01-31,2021-01-22
19600067,EB20/2525,Berlin,10969,Gebr. Geisler GmbH,A-01,2021-12-18,2021-01-02,2021-01-02,2021-01-02,107500,107500,2021-01-31,2021-01-02
O3 2-1393565-1,EB20/2536,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-01-18,2021-01-02,2021-01-02,2021-01-02,2000,2000,2021-01-31,2021-01-02
90401313,EB20/2536,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-11-01,2021-01-02,2021-01-02,2021-01-02,2000,2000,2021-01-31,2021-01-02
39403559,EB21/0069,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-04-01,2021-01-02,2021-01-02,2021-01-02,500,500,2021-01-31,2021-01-02
M0000009,EB21/0301,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2021-01-02,2021-02-02,2021-02-02,2021-02-02,1,1,2021-01-02,2021-02-02
00986010,EB21/0230,Calbe/Saale,39240,Cito Chemie GmbH,A-01,2021-01-26,2099-09-09,2021-02-02,2099-09-09,25,25,2021-01-02,2021-12-02
HDE0H11023,EB21/0034,Bamberg,96052,Robert Bosch GmbH,A-01,2021-01-15,2021-01-29,2021-02-02,2021-01-29,3360,3360,2021-01-02,2021-01-29
17000140,EB20/2135,Lenzkirch,79853,Mesa Parts GmbH,B-01,2020-03-11,2021-01-22,2021-03-02,2021-01-22,1170,1170,1753-01-01,2021-01-22
KS90525730,EB21/0117,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-15,2021-01-29,2021-03-02,1753-01-01,500,500,1753-01-01,2021-01-29
22001661-1,EB21/0113,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-18,2099-09-09,2021-03-02,2099-09-09,2642,2642,1753-01-01,2021-01-27
KU00022202,EB20/2403,Chemnitz,09126,Bandstahlservice Schlag GmbH,B-01,2021-01-22,2021-05-02,2021-04-02,2021-05-02,20,20,1753-01-01,2021-05-02
KP0090M658,EB20/2508,Stuttgart,70173,nic media GmbH Onlineshops,A-01,2021-02-26,2021-10-02,2021-03-02,2021-10-02,30,30,2021-02-02,2021-02-26
00981990,EB21/0126,Berlin,13156,LOEMAT GmbH,A-01,2021-01-22,2021-05-02,2021-03-02,2021-05-02,10,10,2021-02-02,2021-05-02
HDE0H26001,EB20/2343,Bretten,75015,Klumpp GmbH & Co. KG,A-01,2020-11-24,2021-01-29,2021-04-02,2021-01-29,3136,3136,2021-03-02,2021-01-29
M0000009,EB21/0331,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2021-03-02,2021-04-02,2021-04-02,2021-04-02,2,2,2021-03-02,2021-04-02
HDE0H05003,EB20/2180,Stuttgart,70565,Trelleborg Sealing Solutions,A-01,2020-05-11,2021-05-02,2021-04-02,2021-05-02,20000,20000,2021-03-02,2021-05-02
22001439,EB20/2412,Horb-Bildechingen,72160,Promod Prototypenzentr. GmbH,A-01,2020-03-12,2021-01-22,2021-02-02,2021-01-22,673,673,2021-01-02,2021-01-22
17000188,EB20/1370,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2020-07-09,2022-02-02,2021-04-02,2021-08-02,2000,2000,1753-01-01,2021-05-02
17000188,EB20/1370,Unterensingen,72669,ST Stanztechnik GmbH,B-01,2020-07-09,2022-02-02,2021-04-02,2021-08-02,2044,2044,1753-01-01,2021-05-02
KS00520716-1,EB21/0109,Ebersbach,73061,Bodycote,B-01,2021-01-15,2021-05-02,2021-04-02,2021-05-02,500,500,1753-01-01,2021-05-02
MV00491619-1,EB21/0150,Zella-Mehlis OT Benshausen,98544,Menz Industriedienst-,B-01,2021-01-15,2021-05-02,2021-04-02,2021-05-02,8704,8704,1753-01-01,2021-07-02
MV00409230,EB20/2461,Blomberg,32825,SynFlex Elektro GmbH,B-01,2020-11-12,2021-05-02,2021-04-02,2021-05-02,513,513,1753-01-01,2021-05-02
17000149,EB20/2423,Herzogenaurach,91074,Erhard Fröhlich GmbH,B-01,2021-02-02,2021-10-02,2021-05-02,2021-02-26,1600,1600,1753-01-01,2021-02-26
17000149,EB20/2143,Herzogenaurach,91074,Erhard Fröhlich GmbH,B-01,2020-03-11,2021-01-02,2021-05-02,2021-01-30,2620,2620,1753-01-01,2020-01-12
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
GK00059100,EB20/2388,Berlin,10407,AUCOTEAM GmbH,A-01,2020-11-30,2022-02-02,2021-01-02,2022-02-02,1,1,2021-01-31,1753-01-01
O3 1-1393583-5,EB21/0069,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-01-14,2021-05-02,2021-04-02,2021-05-02,200,200,2021-03-02,2021-05-02
HDE0001156,EB21/0031,Bamberg,96052,Robert Bosch GmbH,A-01,2021-03-02,2021-04-02,2021-04-02,2021-04-02,1500,1500,2021-03-02,2021-04-02
PVP0405439,EB21/0012,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2021-12-01,2021-05-02,2021-04-02,2021-05-02,20000,20000,2021-03-02,2021-01-29
KU00024748-5,EB20/2285,Braunschweig,38118,MWS- Mechanische Werkstatt,A-01,2020-11-18,2021-08-02,2021-04-02,2021-08-02,1498,1498,2021-03-02,2021-01-15
17000265,EB20/2161,Wendelstein,90530,c:met GmbH,B-01,2020-04-11,2021-05-02,2021-05-02,2021-05-02,40,40,1753-01-01,2021-05-02
MV00491411,EB20/2450,Frittlingen,78665,A. Wenzler GmbH & Co. KG,B-01,2020-12-23,2021-05-02,2021-05-02,2021-05-02,30122,30122,1753-01-01,2021-05-02
28000652,EB20/2197,Neuhausen/Enzkreis,75242,Adam Bornbaum GmbH,A-01,2020-05-11,2021-12-02,2021-05-02,2021-12-02,62500,62500,2021-04-02,2021-08-02
24000018,EB20/1764,Weidenberg,95464,Röchling Precision Components,B-01,2020-10-22,2099-09-09,2021-05-02,2099-09-09,2000,2000,1753-01-01,2021-04-02
24000019,EB20/1764,Weidenberg,95464,Röchling Precision Components,B-01,2020-10-22,2099-09-09,2021-05-02,2099-09-09,3000,3000,1753-01-01,2021-04-02
17000236,EB20/2313,Reichshof - Eckenhagen,51574,Elektrisola GmbH & Co. KG,B-01,2020-11-20,2021-05-02,2021-05-02,2021-05-02,219,219,1753-01-01,2021-05-02
17000234,EB20/2313,Reichshof - Eckenhagen,51574,Elektrisola GmbH & Co. KG,B-01,2020-11-20,2021-05-02,2021-05-02,2021-05-02,213,213,1753-01-01,2021-05-02
28000234,EB20/1886,Pozuelo de Alarcón (Madrid),ES-28224,DODUCO España  S.L.,A-01,2020-08-10,2021-04-02,2021-05-02,2021-04-02,180000,180000,2021-04-02,2021-01-15
HDE0H17015,EB21/0038,Bamberg,96052,Robert Bosch GmbH,A-01,2021-01-21,2021-03-19,2021-05-02,2021-05-02,6912,6912,2021-04-02,2021-05-02
HDE0H11032,EB21/0036,Bamberg,96052,Robert Bosch GmbH,A-01,2021-01-15,2021-01-29,2021-05-02,2021-05-02,3360,3360,2021-04-02,2021-01-29
KS90525701,EB21/0183,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-21,2021-04-02,2021-08-02,2021-04-02,300,300,1753-01-01,2021-04-02
KS90520715,EB21/0181,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-21,2021-04-02,2021-08-02,2021-04-02,600,600,1753-01-01,2021-04-02
KP0064B321,EB21/0076,Berlin,12489,Dr. Kieburg GmbH,A-01,2021-01-14,2021-01-29,2021-08-02,2021-01-29,680,680,2021-07-02,2021-01-22
KP0064B323,EB21/0076,Berlin,12489,Dr. Kieburg GmbH,A-01,2021-01-14,2021-01-29,2021-08-02,2021-01-29,680,680,2021-07-02,2021-01-22
17000218,EB20/2154,Berlin,13088,AMZ Weissenseer,B-01,2020-03-11,2021-05-02,2021-08-02,2021-05-02,2772,2772,1753-01-01,2021-05-02
ABB0869526,EB21/0355,Mörfelden-Walldorf,64546,RS Components GmbH,A-01,2021-04-02,2021-05-02,2021-05-02,2021-05-02,200,200,2021-04-02,2021-05-02
RA00000060,EB20/2453,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-12-23,2021-09-02,2021-09-02,2021-09-02,480,480,2021-08-02,2021-08-01
RA00000180,EB20/2453,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-12-23,2021-09-02,2021-09-02,2021-09-02,146,146,2021-08-02,2021-08-01
RA00000020,EB20/2453,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-12-23,2021-09-02,2021-09-02,2021-09-02,400,400,2021-08-02,2021-08-01
RA00000030,EB20/2453,Selb,95100,RAPA Automotive GmbH & Co. KG,A-01,2020-12-23,2021-09-02,2021-09-02,2021-09-02,450,450,2021-08-02,2021-08-01
RS00447897,EB21/0335,Karlsruhe,76227,Robert Bosch GmbH,B-01,2021-01-15,2021-10-02,2021-09-02,2021-10-02,3000,3000,1753-01-01,2021-12-02
HDE0H47001,EB20/2496,Stolberg,52224,Inovan GmbH & Co. KG,A-01,2020-09-12,2021-05-02,2021-08-02,2021-05-02,20000,20000,2021-07-02,2021-05-02
00211827,EB20/2530,Syke,28857,Boyd Corporation GmbH,A-01,2020-12-14,2021-12-02,2021-08-02,2021-12-02,5032,5032,2021-07-02,2021-01-29
00343013,EB20/2266,Zhejiang (China),CN-311201,X-MAG  INC.,A-01,2020-11-17,2021-12-02,2021-08-02,2021-12-02,250000,250000,2021-07-02,2021-12-02
KS90525008,EB21/0232,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-26,2021-09-02,2021-10-02,2021-09-02,500,500,1753-01-01,2021-09-02
KS90355702,EB21/0307,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-29,2021-12-02,2021-10-02,2021-12-02,2076,2076,1753-01-01,2021-12-02
KS90355701,EB21/0233,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-26,2021-09-02,2021-10-02,2021-09-02,2052,2052,1753-01-01,2021-09-02
KS90520709,EB21/0231,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-26,2021-09-02,2021-10-02,2021-09-02,380,380,1753-01-01,2021-09-02
KS90525730,EB21/0305,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-29,2021-12-02,2021-10-02,2021-12-02,500,500,1753-01-01,2021-12-02
MV00491533,EB20/2157,Schramberg,78713,Hugo Kern und Liebers GmbH,B-01,2020-04-12,2021-01-15,2021-10-02,2021-01-15,6780,6780,1753-01-01,2021-01-15
MV00491533,EB20/2457,Schramberg,78713,Hugo Kern und Liebers GmbH,B-01,2020-12-23,2021-05-02,2021-10-02,2021-05-02,6000,6000,1753-01-01,2021-05-02
05920408,EB21/0081,Berlin,14167,Diehl Metal Applications GmbH,B-01,2021-01-15,2021-12-02,2021-10-02,2021-12-02,5187,5187,1753-01-01,2021-12-02
05920406,EB21/0081,Berlin,14167,Diehl Metal Applications GmbH,B-01,2021-01-15,2021-12-02,2021-10-02,2021-12-02,5187,5187,1753-01-01,2021-12-02
38001147,EB21/0054,Berlin,14167,Diehl Metal Applications GmbH,A-01,2021-01-14,2021-12-02,2021-10-02,2021-12-02,100000,100000,2021-09-02,2021-12-02
M080000150,EB21/0228,Maintal,63477,GRASSHOFF GmbH,A-01,2021-01-25,2021-12-02,2021-10-02,2021-12-02,600,600,2021-09-02,2021-12-02
M20020358,EB21/0317,Reinbek,21465,Polyma Kunststoff GmbH,B-01,2021-12-02,2021-12-02,2021-11-02,2021-12-02,25,25,1753-01-01,2021-12-02
18000032,EB20/2521,Karben,61184,SHC GmbH,A-01,2021-11-12,2021-10-02,2021-10-02,2021-10-02,1000,1000,2021-09-02,2021-10-02
M0000141,EB21/0156,Berlin,12099,CVB Albert Carl GmbH & Co KG,B-01,2021-01-29,2021-12-02,2021-11-02,2021-12-02,500,500,1753-01-01,2021-12-02
ABB0038943-2,EB21/0297,Oranienburg,16515,SURFACED GmbH,A-01,2021-01-29,2099-09-09,2021-10-02,2099-09-09,3500,3500,2021-09-02,2021-05-02
22001453,EB20/2413,Mengen,88512,Schlösser GmbH & Co. KG,A-01,2020-02-12,2021-09-02,2021-10-02,2021-09-02,330,330,2021-09-02,2021-01-22
PVP0405439,EB21/0012,Steinenbronn,71144,Telegärtner Kunststofftechnik,A-01,2021-12-01,2021-12-02,2021-10-02,2021-12-02,20000,20000,2021-09-02,2021-12-02
00469846,EB20/2316,Berlin,10969,Gebr. Geisler GmbH,Z-DIEHL,2020-12-23,2021-03-02,2021-03-02,2021-03-02,18200,18200,2021-02-02,2021-01-13
MV00491412,EB20/2573,Bretzfeld,74626,Präzisionsteile Franz Schulz,B-01,2020-10-23,2021-12-02,2021-11-02,2021-12-02,16000,16000,1753-01-01,2021-01-29
M0000009,EB21/0422,Kornwestheim,70806,Air Liquide Deutschland GmbH,A-01,2021-10-02,2021-04-02,2021-11-02,2021-11-02,1,1,2021-10-02,2021-11-02
18000038,EB21/0127,Großpostwitz,02692,miunske GmbH,A-01,2021-01-22,2021-12-02,2021-11-02,2021-12-02,1000,1000,2021-10-02,2021-12-02
HDE0001156,EB21/0031,Bamberg,96052,Robert Bosch GmbH,A-01,2021-03-02,2021-08-02,2021-11-02,2021-12-02,1500,1500,2021-10-02,2021-12-02
TF00000009,EB20/2463,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-07-12,2021-11-02,2021-11-02,2033-03-03,400,400,2021-10-02,2021-01-15
40000026,EB21/0182,Eppishausen,87745,TRICOR,B-01,2021-01-25,2021-12-02,2021-12-02,2021-12-02,120,120,1753-01-01,2021-12-02
22001642,EB20/2477,Isernhagen,30916,Nordpack GmbH,B-01,2020-12-30,2021-01-29,2021-12-02,2021-01-29,3300,3300,1753-01-01,2021-01-29
DMR0000004,EB21/0080,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2021-08-01,2021-12-02,2021-11-02,2021-12-02,160000,160000,2021-10-02,2021-12-02
TF00000005,EB20/2460,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-07-12,2021-05-02,2021-11-02,2021-12-02,500000,500000,2021-10-02,2021-05-02
DMR0000002,EB21/0080,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2021-01-15,2021-12-02,2021-11-02,2021-12-02,225,225,2021-10-02,2021-12-02
DMR0000007,EB21/0080,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-07-12,2021-12-02,2021-11-02,2021-12-02,26000,26000,2021-10-02,2021-12-02
DMR0000001,EB21/0080,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-12-23,2099-09-09,2021-11-02,2099-09-09,45000,45000,2021-10-02,2021-12-02
DMR0000009,EB21/0080,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-07-12,2021-12-02,2021-11-02,2021-12-02,120000,120000,2021-10-02,2021-12-02
DMR0000012,EB21/0080,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-12-23,2021-12-02,2021-11-02,2021-12-02,60000,60000,2021-10-02,2021-12-02
DMR0000005,EB21/0385,Bensheim,64625,TE Connectivity Germany GmbH,A-01,2020-12-23,2099-09-09,2021-11-02,2099-09-09,36000,36000,2021-10-02,2021-04-03
M20020221,EB21/0063,Halle,06112,WIS Kunststoffe GmbH,B-01,2021-01-22,2021-12-02,2021-12-02,2021-12-02,125,125,1753-01-01,2021-12-02
O3 1-1393565-8,EB21/0283,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-01-29,2021-12-02,2021-12-02,2021-12-02,2000,2000,2021-11-02,2021-12-02
O3 1393583-4,EB21/0283,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-01-29,2021-12-02,2021-12-02,2021-12-02,200,200,2021-11-02,2021-12-02
O3 4-1393565-4,EB21/0283,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-01-29,2021-12-02,2021-12-02,2021-12-02,210,210,2021-11-02,2021-12-02
O3 4-1393565-4,EB21/0283,Teltow,14513,Teltower Diakon. Werkstätten,A-01,2021-01-29,2021-12-02,2021-12-02,2021-12-02,210,210,2021-11-02,2021-12-02
KS90520714,EB21/0303,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-29,2021-12-02,2021-12-02,2021-12-02,600,600,1753-01-01,2021-12-02
KS90525701,EB21/0116,Oranienburg,16515,SURFACED GmbH,B-01,2021-01-22,2021-05-02,2021-12-02,2021-05-02,300,300,1753-01-01,2021-05-02
M0000115,EB21/0329,Dinslaken,46539,Mercanta Deutschland GmbH,B-01,2020-12-30,2021-12-02,2021-12-02,2021-12-02,100,100,1753-01-01,2021-12-02
HDE0H22013,EB20/2179,Kronach,96317,Horst Scholz GmbH & Co. KG,A-01,2020-05-11,2021-12-02,2021-12-02,2021-12-02,10000,10000,2021-11-02,2021-12-02
01061657,EB21/0016,Reichshof - Eckenhagen,51574,Elektrisola GmbH & Co. KG,A-01,2021-12-01,2021-12-02,2021-12-02,2021-12-02,31,31,2021-11-02,2021-12-02
22001454,EB20/2405,Herzogenaurach,91074,Erhard Fröhlich GmbH,A-01,2020-02-12,2021-02-19,2021-12-02,2021-02-19,310,310,2021-11-02,2021-01-22
22001455,EB20/2405,Herzogenaurach,91074,Erhard Fröhlich GmbH,A-01,2020-02-12,2021-02-19,2021-12-02,2021-02-19,310,310,2021-11-02,2021-01-22
27602024,EB20/1810,Berlin,12487,Ahlberg Metalltechnik GmbH,B-01,2020-09-23,2021-10-02,2021-02-15,2021-10-02,10000,10000,1753-01-01,2021-01-22
17200132,EB21/0162,Berlin,14167,Diehl Metal Applications GmbH,A-01,2021-01-21,2021-12-02,2021-02-15,2021-12-02,14452,14452,2021-02-14,2021-12-02
